age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,length_of_stay
33,0,0,1,2,1,28,-1.0,8,1,1,1
31,1,0,1,1,1,1,-1.0,7,0,0,1
31,0,1,1,2,1,13,-1.0,10,1,1,471
27,0,0,1,2,1,3,-1.0,9,1,1,0
52,1,1,2,2,1,3,-2.0,9,0,0,0
33,0,0,1,2,1,19,-1.0,10,1,1,0
42,0,1,1,0,1,6,-4.0,3,0,0,-1
25,0,1,1,0,0,2,-1.0,4,0,0,3
30,1,1,1,0,1,1,-20.0,2,0,0,3
28,1,1,1,0,1,0,-1.0,2,1,1,0
24,1,0,0,0,0,0,-1.0,2,0,0,2
29,0,1,1,0,0,10,-1.0,4,1,1,7
44,1,1,1,0,1,2,0.0,2,1,1,-1
32,0,0,1,1,1,3,-1.0,7,1,1,8
31,1,1,1,0,1,2,-16.0,3,1,1,15
31,1,0,1,0,1,1,-1.0,2,1,0,1
59,0,1,2,0,1,1,-1.0,2,1,1,0
20,0,0,0,2,0,1,0.0,10,0,0,2
43,1,1,1,0,0,0,0.0,1,0,0,0
38,0,0,1,2,1,9,-1.0,8,1,1,13
32,0,0,1,1,1,11,-2.0,6,1,1,1
33,1,0,1,1,1,8,-1.0,5,1,1,0
31,0,0,1,0,0,0,-1.0,3,1,1,1
33,0,0,1,2,0,7,-1.0,9,1,1,26
27,0,0,1,2,1,2,-1.0,9,1,1,1
20,0,0,0,1,0,0,0.0,6,0,0,0
26,1,1,1,1,0,0,-2.0,6,0,0,0
61,0,0,2,0,0,1,-1.0,1,1,1,0
32,0,0,1,2,0,4,-7.0,10,1,1,6
26,1,0,1,0,0,2,-1.0,4,1,1,0
39,1,1,1,0,1,1,-1.0,4,0,0,3
30,0,1,1,1,0,3,0.0,7,1,1,530
30,0,0,1,1,1,1,0.0,7,0,0,70
48,1,1,2,0,1,2,-1.0,2,0,0,0
22,0,0,0,0,1,1,-1.0,2,0,0,0
46,0,1,2,0,1,6,22.0,1,1,1,22
31,0,1,1,1,1,0,0.0,5,0,0,2
25,1,0,1,0,1,1,-1.0,2,1,1,1
32,0,0,1,1,0,5,-1.0,7,0,0,1
62,0,0,2,0,1,8,0.0,4,0,0,15
28,1,0,1,1,1,6,-1.0,6,1,1,0
78,1,1,2,0,1,1,-1.0,1,1,1,0
56,0,1,2,0,1,0,-1.0,1,0,0,1
22,0,0,0,1,1,1,0.0,5,1,1,0
47,1,0,2,2,1,23,-1.0,8,1,1,0
23,1,0,0,0,1,0,-1.0,2,1,1,1
66,0,0,2,0,1,3,-10.0,1,1,0,2
45,1,1,2,0,1,8,0.0,4,1,1,71
37,1,0,1,2,1,2,0.0,9,1,1,0
39,0,1,1,0,1,0,0.0,4,1,1,0
26,0,0,1,2,1,9,0.0,9,1,1,79
45,0,1,2,0,1,2,-1.0,3,0,0,358
23,0,0,0,0,1,0,-1.0,3,1,1,0
34,1,0,1,0,1,2,0.0,2,1,0,25
23,1,0,0,0,0,1,-1.0,4,0,0,0
50,0,1,2,0,1,1,-4.0,1,0,0,1
37,1,1,1,0,0,0,-1.0,3,0,0,0
44,1,1,1,0,1,4,0.0,4,0,0,1
35,0,0,1,2,0,23,-1.0,9,1,1,2
26,0,0,1,2,1,2,-1.0,10,1,1,1
27,1,0,1,0,1,0,-1.0,2,0,0,2
28,0,0,1,2,0,0,0.0,8,0,0,29
28,0,1,1,2,0,7,-1.0,9,1,1,1
38,0,0,1,0,1,2,-1.0,1,0,0,1
28,0,0,1,2,0,1,-1.0,9,0,0,38
56,0,1,2,0,1,7,-1.0,1,1,1,0
38,0,0,1,2,1,15,-1.0,9,0,0,1
28,1,0,1,1,1,2,-1.0,5,0,0,0
51,1,1,2,0,0,0,-1.0,1,1,1,0
51,1,1,2,0,1,0,-1.0,2,0,0,0
48,0,0,2,0,1,0,-1.0,1,0,0,1
37,0,1,1,0,1,4,0.0,3,1,1,1
30,0,0,1,1,0,2,-1.0,7,0,0,2
41,1,0,1,1,0,5,0.0,6,0,0,0
27,0,0,1,2,1,11,-1.0,10,1,1,223
37,1,0,1,0,1,0,-1.0,1,1,0,1
54,0,0,2,2,1,11,-1.0,9,0,0,129
23,0,0,0,2,1,2,-1.0,9,0,0,71
41,1,0,1,0,1,0,0.0,1,0,0,0
52,0,1,2,0,1,0,-1.0,1,0,0,0
43,0,1,1,0,1,13,0.0,4,1,1,51
52,0,0,2,0,1,0,-1.0,4,0,0,13
28,0,1,1,0,1,1,-3.0,1,0,0,3
30,1,0,1,2,1,11,-1.0,9,1,1,1
28,0,1,1,1,1,1,0.0,5,0,0,6
22,0,0,0,0,1,0,-1.0,4,0,0,0
30,0,0,1,0,1,4,0.0,2,0,0,-1
31,0,1,1,2,1,0,-1.0,8,1,1,30
37,0,1,1,0,1,0,-1.0,2,1,1,35
32,0,0,1,2,1,14,-1.0,9,0,0,1
53,1,1,2,0,1,1,-1.0,1,0,0,1
28,0,0,1,2,1,25,29.0,8,1,1,25
44,1,1,1,1,1,8,-1.0,5,1,1,4
25,0,0,1,0,1,0,0.0,3,0,0,0
22,1,1,0,2,1,1,0.0,8,1,1,5
23,0,1,0,1,0,5,-1.0,5,1,1,0
29,1,0,1,0,1,1,-1.0,3,0,0,0
20,0,0,0,2,1,1,-1.0,8,1,1,1
30,0,0,1,1,1,2,-1.0,6,1,1,1
27,0,0,1,0,1,4,-1.0,4,0,0,0
37,0,0,1,0,0,2,0.0,1,0,0,0
20,0,0,0,2,1,0,-1.0,8,0,0,2
52,0,0,2,0,0,0,-1.0,1,0,0,0
23,0,0,0,0,0,0,-1.0,4,1,1,3
48,0,0,2,0,0,0,-1.0,2,0,0,1
25,0,1,1,1,1,0,0.0,5,0,0,0
27,0,1,1,1,1,0,-1.0,6,1,1,1
30,0,0,1,1,1,11,0.0,7,1,1,1
22,1,0,0,2,1,3,-1.0,10,1,1,1
22,0,1,0,0,0,1,-1.0,3,0,0,0
41,1,0,1,0,0,2,-1.0,3,0,0,0
52,0,0,2,1,1,3,0.0,6,1,1,24
43,0,0,1,0,1,0,-1.0,1,0,0,41
37,0,1,1,0,1,3,-4.0,1,0,0,2
70,1,1,2,0,1,1,-13.0,1,0,0,12
46,0,1,2,0,1,3,-1.0,4,0,0,14
21,1,0,0,2,1,0,-1.0,9,1,1,1
26,1,0,1,2,1,1,-1.0,8,1,1,1
34,1,1,1,0,1,5,-1.0,4,0,0,1
34,1,0,1,0,1,5,-1.0,4,0,0,0
23,0,1,0,1,1,0,0.0,5,1,1,0
34,0,0,1,0,1,5,-1.0,4,1,1,2
39,0,0,1,0,1,6,-1.0,3,1,1,2
58,0,1,2,0,1,2,-1.0,3,0,0,1
21,1,0,0,1,0,0,0.0,6,0,0,0
23,1,0,0,2,1,4,-11.0,8,1,1,11
62,0,1,2,0,1,0,0.0,1,0,0,1
37,0,1,1,0,1,5,-1.0,3,0,0,10
32,0,0,1,0,0,5,0.0,1,0,0,-1
27,1,0,1,0,1,0,0.0,1,0,0,0
44,1,1,1,0,1,0,-1.0,1,1,1,1
28,1,1,1,0,1,3,-1.0,3,1,1,0
42,0,1,1,0,0,0,-3.0,2,0,0,1
27,0,0,1,0,1,0,0.0,2,0,0,17
20,0,0,0,2,1,0,-1.0,10,1,1,0
51,1,1,2,0,0,0,0.0,1,0,0,1
56,1,1,2,0,1,0,0.0,1,0,0,1
29,0,0,1,2,1,7,-1.0,9,0,0,1
20,0,0,0,2,1,0,-1.0,9,1,1,209
27,0,1,1,1,1,8,-1.0,5,0,0,68
24,0,0,0,2,1,2,-1.0,9,1,1,19
53,0,1,2,1,1,36,-7.0,6,1,1,32
28,1,1,1,0,1,2,0.0,3,1,1,1
36,0,0,1,1,0,0,-1.0,7,0,0,12
25,1,1,1,0,0,2,-2.0,4,1,1,1
28,0,1,1,1,1,1,-4.0,5,0,0,1
21,0,0,0,2,0,0,-1.0,8,1,1,1
36,1,1,1,0,1,0,-1.0,3,0,0,0
24,0,0,0,0,1,0,-1.0,3,0,0,0
29,0,0,1,0,1,0,-1.0,1,0,0,1
30,1,1,1,1,0,0,0.0,6,0,0,3
32,0,0,1,2,1,12,-1.0,9,1,1,1
23,0,0,0,1,1,1,0.0,6,0,0,1
47,0,0,2,0,1,3,0.0,3,0,0,0
37,0,1,1,0,1,0,-1.0,1,0,0,19
19,0,0,0,2,1,2,-1.0,10,1,1,1
21,0,1,0,1,0,0,0.0,6,0,0,0
69,1,1,2,0,1,0,-1.0,1,0,0,0
21,0,1,0,1,1,2,-1.0,6,0,0,2
26,1,0,1,2,1,6,0.0,10,1,1,3
22,0,1,0,0,1,0,-2.0,4,0,0,0
23,0,0,0,1,0,0,-1.0,5,1,1,0
49,0,0,2,1,1,3,0.0,5,0,0,3
29,1,0,1,0,1,2,-1.0,4,1,0,50
60,1,1,2,0,0,0,-1.0,1,0,0,0
23,0,0,0,2,1,3,0.0,10,1,1,0
30,0,1,1,0,1,0,0.0,4,0,0,1
21,0,0,0,0,1,1,-1.0,3,1,0,-1
22,1,1,0,1,1,2,-1.0,6,1,1,0
21,0,0,0,2,1,4,-1.0,9,1,1,219
21,0,0,0,1,1,0,-1.0,5,1,1,12
34,1,1,1,0,1,1,0.0,1,0,0,0
50,1,1,2,0,0,1,-1.0,1,1,1,0
40,0,1,1,1,1,0,-1.0,7,1,1,8
25,0,0,1,2,1,7,-1.0,8,1,1,127
53,1,1,2,0,0,1,-1.0,1,0,0,0
24,0,0,0,0,0,0,-1.0,4,0,0,1
42,0,0,1,0,1,1,-12.0,1,0,0,4
28,1,0,1,0,1,1,-1.0,3,0,0,1
26,0,0,1,2,1,6,-1.0,8,1,1,1
22,0,0,0,2,1,4,-1.0,9,1,1,260
21,1,1,0,1,1,3,-8.0,7,0,0,5
37,0,0,1,2,1,23,-1.0,9,1,1,17
35,0,0,1,1,1,2,-1.0,5,0,0,5
53,0,0,2,0,1,2,-1.0,1,0,0,0
29,0,0,1,0,1,7,-1.0,4,1,0,1
48,0,1,2,2,1,23,-1.0,8,1,1,360
52,1,1,2,0,0,0,0.0,1,0,0,0
27,0,0,1,2,1,12,-1.0,8,1,1,31
28,0,0,1,2,1,5,0.0,9,1,0,51
33,1,1,1,0,1,3,0.0,3,0,0,0
36,0,0,1,1,1,14,-1.0,7,1,1,0
29,0,0,1,1,1,2,-1.0,5,0,0,1
22,1,0,0,2,1,0,0.0,9,1,1,21
25,0,1,1,0,1,0,0.0,2,0,0,0
56,0,0,2,0,1,5,-1.0,3,0,0,12
27,0,0,1,2,1,9,-1.0,8,1,1,52
52,0,1,2,0,1,4,-1.0,1,1,1,7
32,0,0,1,0,1,3,0.0,2,0,0,1
39,1,1,1,1,0,0,-2.0,6,0,0,0
56,1,1,2,0,1,0,-1.0,1,0,0,0
22,0,0,0,1,0,0,0.0,7,0,0,0
53,0,0,2,1,1,11,-1.0,6,0,0,110
25,1,1,1,0,1,0,0.0,2,1,1,0
22,0,1,0,0,1,0,-1.0,3,0,0,1
58,1,1,2,0,0,2,-23.0,1,0,0,1
31,1,0,1,0,1,7,0.0,3,1,1,1
22,0,1,0,1,1,1,-1.0,5,1,1,0
28,0,0,1,1,1,8,-1.0,6,1,1,3
20,0,0,0,1,1,0,0.0,7,1,1,0
29,1,1,1,1,1,0,0.0,6,1,1,5
58,1,0,2,1,1,21,-1.0,7,1,1,59
22,0,0,0,1,1,3,-1.0,7,0,0,106
37,0,1,1,0,1,0,0.0,4,0,0,0
57,0,0,2,1,1,1,-1.0,5,1,1,25
27,1,1,1,0,1,3,-22.0,1,0,0,-1
26,0,0,1,0,1,3,0.0,4,0,0,33
24,0,1,0,2,1,3,0.0,8,1,1,0
33,0,1,1,0,1,0,-1.0,1,0,0,1
29,0,0,1,1,1,2,-1.0,6,0,0,0
24,0,0,0,2,0,3,-1.0,10,1,1,1
19,0,1,0,2,1,1,-1.0,10,1,1,32
36,1,1,1,0,1,2,-1.0,1,0,0,0
24,0,1,0,1,0,0,0.0,5,0,0,0
34,1,1,1,0,1,0,0.0,1,0,0,0
20,0,0,0,2,1,1,-1.0,10,1,1,1
24,1,0,0,0,1,1,-1.0,2,1,1,1
61,0,1,2,0,1,4,-1.0,1,0,0,1
50,0,0,2,0,0,3,0.0,2,0,0,-1
30,1,0,1,0,1,1,0.0,1,0,0,4
38,0,0,1,0,1,5,-1.0,3,0,0,1
24,1,1,0,0,1,0,-1.0,1,0,0,0
46,0,0,2,2,0,2,-1.0,10,1,1,9
41,1,1,1,0,1,0,-1.0,1,1,1,3
27,1,0,1,2,1,13,-1.0,8,1,1,1
26,1,0,1,1,1,1,-1.0,6,1,1,13
29,0,0,1,1,1,3,0.0,5,1,1,1
52,0,1,2,1,1,6,-1.0,5,1,1,1
28,0,1,1,0,1,1,0.0,4,1,1,4
55,0,0,2,0,1,5,-1.0,3,1,1,118
26,0,0,1,2,1,10,-1.0,9,1,1,0
28,0,0,1,2,1,5,-1.0,10,0,0,1
63,0,1,2,0,1,2,-3.0,1,0,0,3
42,0,0,1,0,1,0,0.0,1,0,0,1
23,0,0,0,1,1,6,-1.0,6,1,0,0
54,0,0,2,2,1,28,-1.0,9,1,1,5
35,0,0,1,1,1,8,-1.0,7,1,1,10
24,0,0,0,2,0,6,-1.0,9,1,1,26
54,1,0,2,0,1,2,-26.0,1,0,0,0
58,1,0,2,1,1,12,-1.0,6,1,1,3
23,1,1,0,1,1,1,0.0,5,1,1,0
35,1,0,1,0,1,1,-1.0,2,0,0,0
20,0,0,0,2,1,1,0.0,10,1,1,2
51,0,1,2,0,1,0,0.0,1,0,0,35
37,0,1,1,0,1,3,-14.0,2,0,0,6
47,0,1,2,0,1,3,-1.0,1,0,0,0
34,0,1,1,1,1,4,-1.0,6,1,1,1
56,0,1,2,0,1,0,-2.0,1,0,0,0
59,0,1,2,0,1,1,-2.0,1,1,1,0
24,0,1,0,2,0,6,0.0,9,1,1,3
21,1,1,0,2,1,2,-1.0,9,1,1,8
26,0,0,1,0,1,1,-1.0,2,0,0,1
30,1,1,1,0,0,0,-1.0,2,0,0,1
29,1,1,1,0,1,0,0.0,4,1,1,1
54,1,0,2,0,1,0,-1.0,1,0,0,1
29,0,0,1,0,1,4,-1.0,4,1,1,8
59,1,1,2,0,0,0,-2.0,1,0,0,0
38,0,0,1,1,1,0,0.0,5,0,0,1
27,1,1,1,0,1,1,-1.0,3,1,1,1
66,0,0,2,1,1,33,0.0,6,1,1,13
27,0,1,1,1,1,2,0.0,5,0,0,0
51,1,1,2,0,1,1,-1.0,1,0,0,1
35,0,1,1,0,1,1,0.0,2,0,0,74
52,1,1,2,0,1,4,-1.0,3,0,0,0
26,1,0,1,0,0,0,-1.0,2,0,0,1
48,1,1,2,0,0,0,0.0,1,0,0,0
33,1,0,1,0,1,2,0.0,3,0,0,0
34,0,0,1,0,0,6,-1.0,4,0,0,52
59,0,0,2,1,1,10,-1.0,7,1,1,127
29,0,0,1,1,1,5,-1.0,5,1,1,2
24,0,1,0,0,1,0,0.0,2,0,0,1
48,0,1,2,1,1,1,-1.0,7,1,1,129
52,1,0,2,1,1,4,0.0,5,0,0,1
20,0,0,0,0,1,0,0.0,4,1,1,0
25,0,1,1,0,1,4,-5.0,4,1,1,5
24,0,1,0,0,1,0,-1.0,2,0,0,15
23,1,1,0,2,1,0,-1.0,9,0,0,1
27,0,1,1,0,1,6,-1.0,4,1,0,1
25,1,0,1,0,1,1,-1.0,3,1,1,0
31,0,0,1,0,1,0,-1.0,2,0,0,0
25,0,0,1,0,1,6,-1.0,4,1,1,4
32,0,1,1,0,1,1,-7.0,1,1,1,0
21,0,1,0,0,1,0,-1.0,3,1,1,-1
25,0,1,1,0,1,0,0.0,3,0,0,0
35,0,0,1,1,1,0,-1.0,7,0,0,2
42,0,0,1,1,1,14,-1.0,7,1,1,1
24,1,1,0,2,1,9,-23.0,10,1,1,10
47,1,1,2,0,1,1,0.0,1,0,0,0
27,0,0,1,2,1,5,-1.0,9,1,1,1
46,0,1,2,1,1,2,-1.0,6,1,1,0
44,1,0,1,0,1,1,0.0,3,0,0,0
23,0,1,0,0,1,2,-1.0,2,0,0,0
42,0,0,1,1,1,8,-1.0,5,0,0,1
58,0,0,2,1,1,6,-1.0,6,0,0,144
26,0,0,1,1,1,3,-1.0,6,1,0,1
39,0,0,1,0,1,3,-1.0,3,1,1,3
21,0,0,0,1,1,3,0.0,5,1,1,-1
63,1,1,2,0,1,1,-9.0,1,0,0,5
22,0,0,0,1,1,3,-11.0,7,1,1,7
50,1,0,2,0,1,3,-1.0,3,0,0,0
38,0,0,1,0,1,0,-1.0,1,0,0,9
41,0,1,1,1,1,1,-6.0,6,0,0,6
28,0,0,1,2,1,16,-1.0,8,1,1,1
30,1,0,1,0,0,0,0.0,3,0,0,1
23,0,0,0,1,1,1,0.0,5,0,0,0
25,0,1,1,0,1,2,-13.0,4,1,1,12
40,0,1,1,0,1,5,0.0,4,0,0,0
27,1,0,1,0,1,5,0.0,4,1,1,64
44,1,1,1,0,1,11,0.0,3,0,0,180
35,0,0,1,0,0,6,-1.0,2,1,1,1
42,1,1,1,0,1,0,0.0,1,0,0,0
38,0,0,1,1,1,15,0.0,7,1,0,0
25,1,0,1,0,0,0,-1.0,3,0,0,0
49,1,1,2,0,0,2,0.0,1,1,1,0
50,0,1,2,0,1,5,-1.0,1,1,1,1
66,1,1,2,0,1,0,0.0,1,1,1,0
46,1,1,2,0,0,0,-1.0,1,0,0,1
30,0,0,1,1,1,5,-1.0,6,1,1,1
22,1,1,0,0,0,0,0.0,3,0,0,-1
23,1,1,0,0,1,1,-1.0,4,0,0,9
25,1,0,1,0,1,0,-1.0,3,1,0,0
21,0,1,0,1,0,0,-1.0,7,0,0,2
27,1,0,1,0,1,0,-1.0,2,0,0,1
24,0,1,0,1,0,0,0.0,5,0,0,0
20,0,0,0,0,1,1,-1.0,3,0,0,0
31,1,0,1,2,1,3,-20.0,8,1,1,19
27,1,0,1,1,1,3,-1.0,7,1,1,6
40,0,0,1,0,1,0,-1.0,2,0,0,1
22,0,0,0,2,1,11,0.0,10,1,1,0
38,0,0,1,0,0,1,-1.0,1,0,0,0
30,1,0,1,1,1,1,0.0,7,0,0,0
27,0,1,1,1,1,6,-1.0,6,1,1,34
59,1,1,2,0,0,0,0.0,1,0,0,0
37,1,1,1,0,1,2,-2.0,1,0,0,1
28,1,0,1,1,1,5,0.0,7,1,1,1
38,0,1,1,0,1,0,0.0,1,0,0,0
22,0,0,0,2,1,0,-1.0,8,1,1,0
25,0,0,1,1,1,4,-1.0,5,1,1,31
51,1,1,2,0,1,0,0.0,1,0,0,0
29,1,1,1,0,1,2,29.0,2,1,1,25
28,0,0,1,0,1,10,0.0,3,0,0,0
55,1,0,2,0,1,9,0.0,3,1,1,3
23,0,1,0,2,0,3,-1.0,10,0,0,5
22,1,0,0,1,0,0,-1.0,5,0,0,7
19,0,1,0,2,0,2,-2.0,10,1,1,22
31,1,0,1,0,1,1,-27.0,1,0,0,-1
29,1,0,1,0,1,0,0.0,1,0,0,0
61,0,0,2,1,1,15,-1.0,6,1,1,1
20,0,0,0,2,1,4,-1.0,9,1,1,2
26,0,1,1,1,1,3,-1.0,7,1,1,1
27,1,1,1,2,1,5,0.0,9,0,0,1
25,0,1,1,1,1,1,-1.0,5,0,0,1
23,0,1,0,1,1,3,-1.0,5,1,1,9
38,0,0,1,0,1,0,-1.0,1,0,0,1
27,0,0,1,2,1,18,0.0,9,1,1,0
35,0,1,1,0,0,0,0.0,3,1,1,-1
58,0,0,2,0,0,4,-14.0,2,1,1,1
57,1,1,2,0,0,0,-1.0,4,1,1,1
21,0,0,0,0,1,0,-1.0,3,0,0,0
22,0,0,0,2,0,0,-1.0,8,0,0,1
30,0,0,1,0,1,0,-1.0,2,0,0,2
30,0,0,1,2,1,8,-1.0,8,1,1,1
31,0,0,1,1,0,10,-1.0,6,0,0,0
45,0,1,2,1,0,1,0.0,6,0,0,1
39,0,1,1,0,1,2,-13.0,2,1,1,4
31,0,0,1,2,1,0,-1.0,8,1,1,1
22,0,0,0,0,1,1,-1.0,4,1,1,1
27,0,0,1,1,1,13,-1.0,7,1,1,2
38,0,1,1,0,1,1,-1.0,1,1,1,0
31,0,0,1,2,1,23,0.0,10,1,1,55
47,0,0,2,2,1,20,-1.0,9,0,0,1
22,0,0,0,1,1,3,-1.0,7,0,0,0
35,1,0,1,2,1,1,-1.0,9,1,1,79
65,1,0,2,0,1,2,-18.0,2,1,1,5
35,1,0,1,0,1,0,-1.0,4,0,0,1
33,0,0,1,0,0,0,-1.0,3,0,0,1
53,1,1,2,0,1,1,-10.0,1,0,0,1
21,0,0,0,1,1,0,-1.0,5,0,0,0
37,0,0,1,0,1,11,-1.0,4,0,0,1
31,1,0,1,0,0,0,0.0,1,0,0,-1
59,0,1,2,0,0,2,26.0,3,0,0,29
27,1,0,1,0,1,0,-1.0,2,0,0,1
36,1,0,1,1,1,0,-1.0,7,1,1,0
46,0,0,2,2,1,17,-1.0,9,1,1,6
22,0,0,0,2,1,3,0.0,9,0,0,323
28,1,1,1,0,0,0,-1.0,2,0,0,0
34,0,1,1,2,0,15,-4.0,9,1,1,3
23,1,0,0,2,1,2,0.0,10,1,1,80
27,0,0,1,0,1,3,-1.0,4,0,0,0
48,0,1,2,0,1,3,-3.0,1,1,1,0
31,0,0,1,1,1,5,-1.0,7,0,0,6
36,1,0,1,1,1,4,-1.0,5,0,0,2
44,0,0,1,2,1,14,-1.0,8,1,1,1
53,0,1,2,0,1,2,-2.0,1,0,0,0
33,1,0,1,0,1,3,-1.0,2,1,1,1
47,0,1,2,1,1,2,0.0,5,1,1,2
57,0,0,2,1,1,20,0.0,7,1,1,33
28,1,0,1,0,1,2,-1.0,4,0,0,6
24,1,0,0,1,1,1,-1.0,6,0,0,1
44,0,0,1,0,1,1,-1.0,1,0,0,1
46,0,0,2,0,1,0,-1.0,1,0,0,1
37,0,0,1,0,1,6,0.0,3,0,0,1
26,1,0,1,1,1,10,-6.0,6,1,1,5
27,0,0,1,2,1,10,0.0,8,1,1,0
40,0,1,1,0,1,1,-1.0,2,0,0,1
60,0,1,2,0,0,9,0.0,3,1,1,384
53,0,1,2,0,1,1,-6.0,1,0,0,6
28,0,0,1,0,1,0,-1.0,1,0,0,1
46,0,1,2,2,0,2,-1.0,8,0,0,19
23,0,0,0,1,1,0,-1.0,5,1,1,1
50,0,0,2,2,1,18,-1.0,8,1,1,248
45,1,0,2,0,1,0,-1.0,1,0,0,1
22,0,0,0,1,1,1,-1.0,5,0,0,0
26,0,1,1,0,1,1,0.0,2,1,1,16
62,0,1,2,0,1,0,-1.0,1,0,0,2
34,1,1,1,0,1,0,0.0,1,1,1,-1
21,1,1,0,0,1,0,-1.0,2,0,0,1
25,0,1,1,0,1,0,-1.0,2,1,1,0
68,1,1,2,0,1,0,-1.0,1,0,0,3
21,0,1,0,0,1,1,-1.0,3,0,0,0
22,0,0,0,2,1,0,0.0,8,0,0,0
42,0,1,1,0,1,1,-1.0,1,0,0,0
22,0,1,0,0,1,1,-1.0,4,1,1,1
45,0,0,2,0,1,0,-1.0,4,1,1,2
